NS,1:1,1:8,2:1,2:8
1,0.523708966867673,0.504315948717136,0.35187770646174343,0.28961308633637917
2,0.5033742435647067,0.5429352144039401,0.3856620421163471,0.3282647041427555
3,0.4873095001144496,0.5610572110142369,0.3856620421163471,0.35187770646174354
4,0.4641588833612778,0.5729438926655521,0.37637499911043404,0.35187770646174354
5,0.4641588833612778,0.5429352144039403,0.3856620421163471,0.3856620421163471
