NSLev1it,Lev1time,Lev2it,Lev2time,Lev3it,Lev3time,Lev4it,Lev4time
1,4,0.6139068879999741,5,0.5234388426249836,5,0.5695316462499704,5,0.7400559126250528
2,4,0.5142844987500155,4,0.5742988652499434,4,0.6169957362499758,4,0.8423136363750245
3,5,0.5618578163749532,4,0.5911367668749676,4,0.679862468500005,4,0.9828169660000299
4,5,0.5744740989999286,5,0.645377377624925,4,0.7499215013750131,4,1.1466528447499513
5,5,0.5645820056249136,5,0.6692053206249966,4,0.8290003282500038,4,1.358310626625041
