NSLev1it,Lev1time,Lev2it,Lev2time,Lev3it,Lev3time
1,9,0.691814375000007,9,1.3400522499999994,9,2.026703500000025
2,9,0.7881165000000152,9,1.554033125000018,9,2.3429238749999826
3,10,0.8952413750000119,10,1.7750654999999966,10,2.6523605000000146
4,10,0.9833772500000322,9,1.8521505000000502,10,2.8117310000000515
5,10,1.0282509999999974,10,2.075839749999986,10,3.112347750000012
