NS,Lev1it,Lev1time,Lev2it,Lev2time,Lev3it,Lev3time,Lev4it,Lev4time
1,4,0.5364503872499711,4,0.5184484452500158,5,0.5690131783750587,5,0.7290533297500303
2,4,0.5317931347500462,5,0.5732218166250789,4,0.6403862990000277,5,0.8846106607499848
3,5,0.5434433722499534,4,0.5857823936249815,5,0.7261657927499527,4,0.9688486303750778
4,4,0.544420877750099,4,0.6117287493749473,5,0.8086015662499904,5,1.282306351750094
5,4,0.5574178257500648,4,0.6312426048749558,5,0.8991704177500424,4,1.3653254206250267
