NSLev1it,Lev1time,Lev2it,Lev2time,Lev3it,Lev3time
1,9,0.6527506250000101,9,1.3017826250000155,9,1.973725750000014
2,9,0.8563411250000001,9,1.5832738750000033,9,2.3371308750000566
3,9,0.8112655000000331,9,1.621000250000023,9,2.42782375000003
4,9,0.8582323749999858,9,1.7151295000000175,10,2.6590867500000286
5,10,1.035683875000018,10,2.0753246249999933,10,3.109909625000043
